State,District,Latitude,Longitude,District code,Population,Households_with_Internet,Housholds_with_Electric_Lighting,sex_ration,Literacy_rate
Madhya Pradesh,Shivpuri,25.37802451874367,77.74861600810549,423,1726050,1852,148128,87.65594507471774,52.19
Madhya Pradesh,Sidhi,24.17547189952905,82.1053783359498,462,1127033,837,102228,95.69534928947479,53.31
Madhya Pradesh,Tikamgarh,25.14099852104666,78.89357064846428,424,1445166,1090,132725,90.06464085854634,51.75
Madhya Pradesh,Ujjain,23.319288862745065,75.80383717647058,435,1986864,7501,323379,95.50187003893578,62.46
Madhya Pradesh,Umaria,23.59601063063061,80.90879477477475,431,644758,839,67975,94.98297416791159,55.32
Madhya Pradesh,Vidisha,23.82838307984792,77.9013507604563,443,1458875,1926,181510,89.57064223044617,59.15
Maharashtra,Akola,20.746310479041902,77.12122320359276,501,1813906,6163,314490,94.5553846582877,77.8
Maharashtra,Amravati,21.16520991810736,77.67583503184723,503,2888445,9438,512492,95.0639803129187,77.96
Maharashtra,Aurangabad,20.0979228832952,75.32072196796334,235,2540073,2362,44456,92.6218108356513,57.71
Maharashtra,Aurangabad,20.0979228832952,75.32072196796334,515,3701282,23258,589477,92.32744201127687,67.65
Maharashtra,Bhandara,21.211792649727748,80.10950199637024,506,1200334,2932,227025,98.23193288413265,74.97
Maharashtra,Bid,18.952353340080982,75.69319706477731,523,2585049,5614,402052,91.61200083610925,66.48
Maharashtra,Buldana,20.56680611183355,76.39017880364096,500,2586258,4767,423036,93.35641017973025,72.69
Maharashtra,Chandrapur,20.095609090909075,79.31556380471388,509,2204307,8239,418666,96.14168996488806,71.62
Maharashtra,Dhule,21.274018690400517,74.58719071837263,498,2050862,6065,315332,94.57321463979711,63.09
Maharashtra,Gondiya,21.225008411214997,80.17522698598128,507,1322507,2866,239981,99.90915329663187,75.93
Maharashtra,Hingoli,19.59525302245251,77.09239412780653,512,1177345,1221,159114,94.18714353102621,67.16
Maharashtra,Jalgaon,20.8828943415638,75.55140421810695,499,4229917,14297,720791,92.49951646631305,68.37
Maharashtra,Jalna,19.984612534818933,75.98473607242339,514,1959046,3791,288895,93.68248089667249,61.03
Maharashtra,Kolhapur,16.44881301587301,74.12897150793648,530,3876001,22269,770005,95.69259306755634,72.91
Maharashtra,Latur,18.348687268993856,76.75812607802874,524,2454196,6217,381722,92.76717407355044,67.26
Maharashtra,Nagpur,21.196556862745105,79.02166176470584,505,4653570,57964,917626,95.12028427970944,78.95
Maharashtra,Nanded,19.209316983017,77.6829048951049,511,3361292,7548,488748,94.28591246044246,65.14
Maharashtra,Nandurbar,21.523175625248147,74.32638757443429,497,1648295,2579,186202,97.83417549839768,55.0
Maharashtra,Nashik,20.266912871287143,74.03824168316828,516,6107187,45039,904710,93.43766886081465,71.15
Maharashtra,Osmanabad,18.19459456066944,75.99495575313809,525,1657576,3209,240042,92.39798731334189,68.64
Maharashtra,Parbhani,19.31032425249168,76.70163338870431,513,1836086,3982,272486,94.73373847932378,63.06
Maharashtra,Pune,18.51696171428573,74.12922881632647,521,9429408,235018,1925019,91.49486048733729,76.06
Maharashtra,Raigarh,18.453257637845976,73.0090609418579,403,1493984,3342,297308,99.1240580158288,63.7
Maharashtra,Raigarh,18.453257637845976,73.0090609418579,520,2634200,38570,547206,95.94672498502989,73.65
Maharashtra,Ratnagiri,17.210195070127703,73.25725893866404,528,1615069,7752,367352,112.19608971503874,74.26
Maharashtra,Sangli,17.154930181086502,74.70713822937628,531,2822143,13212,485126,96.56529649070019,72.62
Maharashtra,Satara,17.6737908974359,74.18052064102558,527,3003741,14093,562653,98.81238408781329,74.1
Maharashtra,Sindhudurg,16.170948049777163,73.51329008172343,529,849651,3517,194228,103.59114565861233,78.39
Maharashtra,Solapur,17.837357937584812,75.42394823609216,526,4317756,15145,595560,93.8080267450441,67.41
Maharashtra,Thane,19.698767747440264,72.79882742564581,517,11060148,256170,2231800,88.57631560910187,74.39
Maharashtra,Wardha,20.80743024390242,78.57259105691062,504,1300774,4313,266155,94.61448117477202,78.37
Maharashtra,Washim,20.282282394366213,77.25502394366208,502,1197160,1875,196022,92.99631469832437,72.67
Maharashtra,Yavatmal,20.04258346738159,78.05326371760479,510,2772348,6094,446516,95.24058691587469,72.96
Manipur,Bishnupur,24.50712111801243,93.8246236024845,275,237399,676,34364,99.86109006415114,65.85
Manipur,Chandel,24.2635812987013,94.09443844155844,280,144182,184,18764,93.32788050255434,62.63
Manipur,Churachandpur,24.30309718875504,93.38671506024085,274,274143,837,29894,97.48091053162369,71.47
Manipur,Senapati,25.08465586034914,94.03366234413956,272,479148,256,22798,93.73370046457467,55.2
Manipur,Tamenglong,24.98312942238265,93.49450740072204,273,140651,125,11541,94.34718326401459,60.44
Manipur,Thoubal,24.545392553191498,93.97959893617023,276,422168,880,49507,100.22670682254737,63.79
Manipur,Ukhrul,25.05900314960629,94.44129566929138,279,183998,276,14026,94.25874701746237,70.56
Meghalaya,East Garo Hills,25.82728228228228,90.64684924924916,294,317917,288,24550,97.1908474597297,60.44
Meghalaya,East Khasi Hills,25.303763888888884,91.75922519841272,298,825922,5032,135941,101.07705679137379,69.99
Meghalaya,Jaintia Hills,25.33959557069844,92.37608160136298,299,395124,510,41677,101.30116921822861,47.46
Meghalaya,South Garo Hills,25.240568578553614,90.64560349127176,295,142334,179,10940,94.52507858411917,57.65
Meghalaya,West Garo Hills,25.495285185185185,90.03709947089942,293,643291,1630,51301,98.44921782211816,55.76
Meghalaya,West Khasi Hills,25.500889926739926,91.25364542124538,296,383461,149,32873,97.95111374958057,60.16
Mizoram,Aizawl,23.90781335453101,92.85359459459472,283,400309,4019,79804,100.88774025191951,85.08
Mizoram,Champhai,23.54166580976866,93.24221799485862,284,125745,186,23948,98.37350918154856,80.16
Mizoram,Kolasib,24.2020004347826,92.73470391304348,282,83955,367,14853,95.61722354256955,78.49
Mizoram,Lawngtlai,22.36102843137253,92.66964156862753,287,117894,162,9283,94.5477648146009,53.32
Mizoram,Lunglei,23.007717036172675,92.63512555425892,286,161428,482,26394,94.74731876802065,75.03
Mizoram,Mamit,23.73852942502819,92.4330803833147,281,86364,90,12158,92.65637547961096,69.69
Mizoram,Saiha,22.35744801061008,93.02827931034489,288,56574,168,7400,97.85269636986781,74.65
Mizoram,Serchhip,23.263864705882344,92.914158496732,285,64937,131,12315,97.6713037654866,83.89
Nagaland,Dimapur,25.814176811594223,93.75074057971014,265,378811,3303,71413,91.90603564444714,73.4
Nagaland,Kohima,25.60311428571428,93.78600657596373,270,267988,1928,50724,92.84429284861045,73.69
Nagaland,Mokokchung,26.478911764705888,94.522426006192,262,194622,537,40154,92.51968503937007,81.95
Nagaland,Mon,26.69207374301676,95.03072988826828,261,250260,178,14398,89.94633898279356,47.8
Nagaland,Phek,25.63272986577182,94.56814563758392,266,163418,170,36182,95.14228054882199,64.8
Nagaland,Tuensang,26.21104453280316,94.85809880715708,267,196596,155,24998,92.86786418529819,59.77
Nagaland,Wokha,26.202611551155112,94.1990815181518,264,166343,198,25268,96.84397372936513,77.07
Nagaland,Zunheboto,26.028178205128206,94.50026666666668,263,140757,261,28846,97.64522515691479,73.09
Orissa,Baleshwar,21.48570932311624,87.08085828011933,377,2320529,7370,296834,95.69526398923247,69.86
Orissa,Bhadrak,20.95262735257214,86.81496204516931,378,1506337,2637,164636,98.13445400257807,72.64
Orissa,Cuttack,20.407640646029623,85.7776810228802,381,2624470,15046,349587,94.00854549217895,76.64
Orissa,Dhenkanal,20.79887159353349,85.53226836027711,383,1192811,1810,117172,94.71508815804293,69.58
Orissa,Gajapati,19.121080882352945,84.14015091911759,389,577817,635,63112,104.26078718334853,45.44
Orissa,Ganjam,19.2632617564534,84.80297710437702,388,3529031,9049,405298,98.34730763740025,62.62
Orissa,Jharsuguda,21.827058566978184,83.93581682242987,371,579505,2498,81433,95.32340153021673,70.04
Orissa,Kalahandi,19.784253092783523,83.1124043814433,395,1576869,1953,91171,100.33883834476134,50.86
Orissa,Kandhamal,20.092878624813142,84.02216352765326,390,733110,768,28736,103.67278334189946,54.53
Orissa,Kendrapara,20.606319815982264,86.83763247572003,379,1440361,1628,173107,100.65936301047347,75.62
Orissa,Khordha,20.054162322274863,85.52234834123229,386,2251673,35701,349860,92.92276742147666,77.72
Orissa,Koraput,18.82627794779476,82.81278469846964,398,1379647,3988,85766,103.24524277079415,41.18
Orissa,Malkangiri,18.25227930367506,81.98293636363628,399,613192,448,24604,101.95768450451874,39.91
Orissa,Mayurbhanj,21.897621545157754,86.4030408052231,376,2519738,2950,140189,100.58206689470654,54.35
Orissa,Nayagarh,20.192895622119817,85.05614700460825,385,962789,1163,124984,91.54795915931211,71.5
Orissa,Nuapada,20.471309512195116,82.59152536585364,394,610382,757,43976,102.13867970141939,49.05
Orissa,Puri,19.83509174603177,85.86698989898981,387,1698730,3416,201605,96.2987358154799,76.05
Orissa,Rayagada,19.292840020060204,83.45860120361095,396,967911,1553,61543,105.08326976862446,42.13
Orissa,Sambalpur,21.515752380952385,84.34958483245157,372,1041099,5231,126498,97.5981111340977,67.59
Orissa,Sundargarh,22.06354819277107,84.50524819277099,374,2093437,12787,223537,97.28058412265219,64.12
Puducherry,Karaikal,10.876161726078813,79.82369793621002,637,200222,1868,47880,104.70713329039249,77.37
Puducherry,Mahe,12.006420793787758,75.28275021570326,636,41816,574,7150,118.44016089432168,87.22
Puducherry,Yanam,16.707695652173904,82.26187304347832,634,55626,207,12859,103.75077835976705,70.6
Punjab,Amritsar,31.548679820627772,74.79883856502238,49,2490656,29961,461231,88.9139022214671,67.64
Punjab,Bathinda,30.190524611973352,75.05685898004438,46,1388525,11284,255650,86.8313515797292,60.85
Punjab,Faridkot,30.591187250996025,74.79751553784862,45,617508,4348,113549,89.03055367632878,61.75
Punjab,Fatehgarh Sahib,30.64290947368421,76.36208394736842,40,600163,5138,113683,87.08614535762715,70.99
Punjab,Firozpur,30.63407535211269,74.40245732394365,43,2029074,10042,349662,89.3434063960091,60.5
Punjab,Gurdaspur,32.04283371212125,75.3204064393939,35,2298323,14428,411216,89.53412330521509,71.13
Punjab,Hoshiarpur,31.55157169811319,75.8469857442349,38,1586625,13747,319930,96.10793800684007,75.61
Punjab,Jalandhar,31.250336907216507,75.54400350515463,37,2193590,39082,446200,91.54461492249027,73.97
Punjab,Kapurthala,31.336592638036837,75.47641165644177,36,815168,9732,161206,91.21439512468596,70.73
Punjab,Ludhiana,30.76596397379912,75.83110851528383,41,3498739,58589,703624,87.31711260638093,73.18
Punjab,Mansa,29.919547714285724,75.4304922857143,47,769751,2673,140099,88.32658074239355,55.03
Punjab,Moga,30.756540067340065,75.1600845117845,42,995746,7897,183396,89.33411925768178,63.06
Punjab,Muktsar,30.31243303303303,74.5518747747748,44,901896,4571,166585,89.62453376841273,58.19
Punjab,Patiala,30.214540380693364,76.27505893949697,48,1895686,24274,352929,89.09171070560048,66.82
Punjab,Rupnagar,30.910937330754347,76.53743500967126,51,684627,6600,129123,91.51209141642308,73.43
Punjab,Sangrur,30.185045204336895,75.89437014178496,53,1655169,10736,305557,88.50960503582456,60.54
Rajasthan,Ajmer,26.199300378787903,74.6990419191919,119,2583052,13499,393498,95.08203778458332,59.1
Rajasthan,Alwar,27.55271738035265,76.65359630562563,104,3674179,9750,485723,89.4858036973202,59.4
Rajasthan,Banswara,23.453642032967014,74.44246868131869,125,1797485,2324,120603,98.01455019752048,46.14
Rajasthan,Baran,24.98023243243244,76.86210651828291,128,1222755,1363,161310,92.88029718666446,56.7
Rajasthan,Barmer,25.77070908045978,71.50297126436782,115,2603751,2766,126494,90.1905886099712,45.64
Rajasthan,Bharatpur,27.32411858037578,77.21752077244258,105,2548462,4179,288723,87.97765920252323,58.11
Rajasthan,Bhilwara,25.45119767759564,74.63947595628417,122,2408523,6207,373644,97.3008906102548,52.15
Rajasthan,Bikaner,28.12489068322981,73.26943322981371,101,2363937,7607,220793,90.51701280060219,54.1
Rajasthan,Bundi,25.48580716049379,75.79984074074079,121,1110906,1392,136969,92.47799570309793,52.66
Rajasthan,Chittaurgarh,24.631623761665463,74.80010997846382,126,1544338,4941,268172,97.19039647790841,53.22
Rajasthan,Churu,28.29330375536484,74.65846427038629,102,2039547,2577,231696,93.97543953755114,56.35
Rajasthan,Dausa,26.91234817629181,76.57342097264443,109,1634409,1719,195277,90.53786079761059,57.39
Rajasthan,Dhaulpur,26.72397054945053,77.74476219780222,106,1206516,1330,96086,84.5821980365549,56.62
Rajasthan,Dungarpur,23.75104807692308,73.84765641025645,124,1388552,1477,141275,99.35221928066478,49.09
Rajasthan,Ganganagar,29.256785412667963,73.56192303262948,99,1969168,6295,283142,88.73694097801292,60.6
Rajasthan,Hanumangarh,29.1813351791531,74.74632573289902,100,1774692,3360,243163,90.58446021409303,58.27
Rajasthan,Jaipur,27.033459290187885,75.77117286012533,110,6626178,76565,990085,91.03833436115309,64.91
Rajasthan,Jaisalmer,26.86900838548185,71.18371877346682,114,669919,754,43141,85.20989306291263,46.07
Rajasthan,Jalor,25.07578093797277,72.18647261724662,116,1828730,1585,161845,95.24488754412076,45.36
Rajasthan,Jhalawar,24.24725541474657,76.11242891705065,129,1411129,1750,220428,94.60009956656825,52.43
Rajasthan,Jhunjhunun,28.13517401247401,75.52840893970894,103,2137045,4828,297559,95.0043617277552,64.12
Rajasthan,Jodhpur,26.678460838536967,73.00450847457628,113,3687165,19335,408808,91.64776436540245,55.1
Rajasthan,Karauli,26.51901555555556,76.96081818181815,107,1458248,1059,132079,86.08670574078116,55.26
Rajasthan,Kota,25.175718080000014,76.18618928000001,127,1951014,12843,339899,91.05841292411286,66.55
Rajasthan,Nagaur,27.07862016048146,74.14215667001012,112,3307743,4449,347344,94.99465019969641,53.17
Rajasthan,Pali,25.80490393541874,73.55285640766907,118,2037573,4043,326793,98.70580112383,53.28
Rajasthan,Rajsamand,25.24894767441859,73.96570215946844,123,1156597,1989,193276,98.95396661844465,53.53
Rajasthan,Sawai Madhopur,26.251081180223288,76.4219283891548,108,1335551,1887,140947,89.70059557036551,55.54
Rajasthan,Sikar,27.64644058641976,75.29317422839503,111,2677333,5647,339457,94.71654339304287,61.71
Rajasthan,Sirohi,24.7976905263158,72.75309131578943,117,1036346,2146,134089,93.98836832755867,46.01
Rajasthan,Tonk,26.153935071707927,75.79192216427637,120,1421326,1908,158264,95.20062186184998,52.74
Rajasthan,Udaipur,24.44076752136749,73.84029839743584,130,3068420,14211,357846,95.83980352322982,51.58
Sikkim,East,27.29600352941175,88.74908392156858,93,1709346,80037,352758,88.35768595041323,79.15
Tamil Nadu,Ariyalur,11.190514836795256,79.22249643916912,616,754894,1749,177502,101.46462665097424,63.67
Tamil Nadu,Chennai,13.058098905608748,80.28139151846806,603,4646732,217368,1096334,98.93160673401134,81.27
Tamil Nadu,Coimbatore,10.871376995940452,77.07619012178621,632,3458045,63273,896325,99.9682529952923,76.23
Tamil Nadu,Cuddalore,11.57587300613498,79.63002365371497,617,2605914,15396,598412,98.66737516362392,69.66
Tamil Nadu,Dharmapuri,12.300141200000006,78.11509813333339,630,1506843,3651,337972,94.60637502373102,60.9
Tamil Nadu,Dindigul,10.377801390820574,77.78011279554937,612,2159775,9155,500057,99.80563177536547,68.61
Tamil Nadu,Erode,11.267012155963302,77.42034334862392,610,2251744,18604,595211,99.29266073559036,66.29
Tamil Nadu,Kancheepuram,12.496424756511884,80.08820360135913,604,3998252,100322,961161,98.6257040633734,75.37
Tamil Nadu,Kanniyakumari,8.183466300191206,77.32053064053538,629,1870374,15673,465692,101.90900798298689,82.8
Tamil Nadu,Karur,10.79532776617955,78.08749686847604,613,1064493,4915,264949,101.53828968692729,68.3
Tamil Nadu,Madurai,9.904313833333331,78.01366033333332,623,3038252,34097,754141,99.03712802371477,74.83
Tamil Nadu,Nagapattinam,10.789468161718286,79.79437299431483,618,1616450,5585,381940,102.53042435602353,75.04
Tamil Nadu,Namakkal,11.33766638477801,78.14624841437633,609,1726601,8960,441044,98.62426375851278,68.12
Tamil Nadu,Perambalur,11.260137758112096,78.86034011799416,615,565223,1507,135751,100.32216106635667,66.49
Tamil Nadu,Pudukkottai,10.130514816433578,79.05444484265728,621,1618345,4494,354493,101.49018660637361,68.62
Tamil Nadu,Ramanathapuram,9.31286995153476,78.99185362412462,626,1353445,5172,291400,98.26106190801251,72.33
Tamil Nadu,Salem,11.629324202127655,78.2478257978723,608,3482056,20660,835377,95.44862371468777,65.64
Tamil Nadu,Sivaganga,9.960306580645158,78.56535729032255,622,1339101,5773,314270,100.26275961906586,71.67
Tamil Nadu,Thanjavur,10.387692255892237,79.3194869107745,620,2405890,13495,555582,103.47238197047402,74.44
Tamil Nadu,Theni,9.924066666666668,77.43458833333332,624,1245899,4667,312310,99.12623485055532,69.84
Tamil Nadu,Thiruvallur,13.275858101752885,80.19724702864492,602,3728104,75634,909400,98.7196585187483,74.88
Tamil Nadu,Thiruvarur,10.368927409395978,79.60322893959727,619,1264277,4416,303114,101.7378525051341,74.86
Tamil Nadu,Tiruvannamalai,12.419318947368414,79.23265631578953,606,2464875,6445,549077,99.44145469374676,66.0
Tamil Nadu,Vellore,12.784882632293078,79.02643283582084,605,3936331,20623,865913,100.66040063455554,70.47
Tamil Nadu,Virudhunagar,9.468872195892564,77.87641469194315,625,1942288,10219,505950,100.70992416108562,72.02
Tripura,Dhalai,23.781360477941163,91.94654283088232,291,378230,273,46875,94.41874331770704,73.03
Tripura,North Tripura,24.121739755351683,92.17842538226292,292,693947,997,81601,96.66354928300176,74.99
Tripura,South Tripura,23.211874098057383,91.6065807585568,290,876001,948,133744,95.73516793879485,73.84
Tripura,West Tripura,23.780166241299337,91.41310788863107,289,1725739,6394,314567,96.2342568123826,78.89
Uttar Pradesh,Agra,26.99512974910393,78.05278291517321,146,4418797,27183,536402,86.8450239814491,60.66
Uttar Pradesh,Aligarh,27.93748576850093,78.00146831119557,143,3673889,13634,268120,88.21191231949246,56.96
Uttar Pradesh,Allahabad,25.392038662316445,82.05172446982063,175,5954391,24122,391542,90.1263711333425,61.56
Uttar Pradesh,Ambedkar Nagar,26.39119025974028,82.68282142857147,178,2397888,2509,99581,97.77863923920125,62.01
Uttar Pradesh,Auraiya,26.66892394014961,79.42637057356607,162,1379545,2404,65479,86.4149235176477,67.47
Uttar Pradesh,Azamgarh,26.008290954773837,83.01220251256285,191,4613913,6652,183381,101.92144083774033,60.08
Uttar Pradesh,Baghpat,29.045793499999988,77.30266300000001,139,1303048,2989,119121,86.13110117559673,61.24
Uttar Pradesh,Bahraich,27.691776300578027,81.46779783237004,180,3487731,2681,85814,89.15132405292306,40.09
Uttar Pradesh,Ballia,25.86075638297873,84.03651978723408,193,3239774,4672,119972,93.66191205462125,60.61
Uttar Pradesh,Balrampur,27.449076537911324,82.47158326180256,182,2148665,1551,57400,92.75361278741497,40.41
Uttar Pradesh,Banda,25.351885902503284,80.52487391304344,170,1799410,1655,73522,86.29824118209791,55.74
Uttar Pradesh,Bara Banki,26.922777025232424,81.35762350597606,176,3260699,3159,108116,91.01110497324953,51.9
Uttar Pradesh,Bareilly,28.51101940789474,79.43187072368416,150,4448359,15164,272830,88.67646591012718,49.27
Uttar Pradesh,Basti,26.833880454545447,82.69790590909092,185,2464464,3423,108101,96.32908246180908,56.56
Uttar Pradesh,Bijnor,29.313974259681096,78.45098815489754,134,3682713,7303,268353,91.68666703101943,57.98
Uttar Pradesh,Bulandshahr,28.34875862068968,78.01082758620684,142,3499171,7865,223922,89.6302418087424,58.06
Uttar Pradesh,Chandauli,25.1180859611231,83.25307062634984,196,1952756,3492,99602,91.84069240253265,60.15
Uttar Pradesh,Chitrakoot,25.159924623803,81.07666087551297,171,991730,827,41046,87.92695382598001,53.55
Uttar Pradesh,Deoria,26.42218856548857,83.8244070686071,190,3100946,4469,150001,101.6959405139466,60.47
Uttar Pradesh,Etah,27.591155309734443,78.70021858407083,201,1774480,2635,69591,87.31203930166498,59.47
Uttar Pradesh,Etawah,26.78817670157068,79.07621806282728,161,1581810,2964,113098,87.00700828509818,67.14
Uttar Pradesh,Faizabad,26.60589185185181,82.00783530864202,177,2470996,4746,127754,96.1687101271169,58.72
Uttar Pradesh,Farrukhabad,27.45063297872342,79.4406284574468,159,1885204,2624,88081,87.35132771505803,57.96
Uttar Pradesh,Fatehpur,25.8374362030905,80.85416203090509,172,2632733,3385,75263,90.12718798430298,57.44
Uttar Pradesh,Firozabad,27.20963993055552,78.42660624999998,147,2498156,5834,196080,87.54277254689401,60.92
Uttar Pradesh,Gautam Buddha Nagar,28.393311038961038,77.52462467532465,141,1648115,53181,257586,85.13694459983779,68.14
Uttar Pradesh,Ghaziabad,28.74997308584685,77.67441879350343,140,4681645,78116,695130,88.10595644386086,66.71
Uttar Pradesh,Ghazipur,25.624724775583484,83.5360854578097,195,3620268,5309,105767,95.15480506178996,60.7
Uttar Pradesh,Gonda,27.157215552099505,82.0226888024882,183,3433919,4313,104084,92.1454094964821,48.92
Uttar Pradesh,Gorakhpur,26.63315886792452,83.3549560377358,188,4440895,14597,296619,94.96618852503998,60.81
Uttar Pradesh,Hamirpur,25.738158381502892,79.82619479768789,28,454768,2521,104120,109.50292532362833,78.74
Uttar Pradesh,Hamirpur,25.738158381502892,79.82619479768789,168,1104285,1196,55929,86.05158566357278,59.16
Uttar Pradesh,Hardoi,27.337409090909137,80.26411767676768,155,4092845,3845,95508,86.76492464778899,54.28
Uttar Pradesh,Jalaun,26.067954587155988,79.36686911314993,165,1689974,2217,104176,86.51240712863594,63.62
Uttar Pradesh,Jaunpur,25.70141280913127,82.54315351934063,194,4494204,8002,181467,102.39922718889962,60.78
Uttar Pradesh,Jhansi,25.45581535234902,78.89954580536917,166,1998603,8517,183340,89.00463006744617,65.27
Uttar Pradesh,Jyotiba Phule Nagar,28.870498984771597,78.39009365482241,137,1840221,2825,89329,91.00346774972002,53.42
Uttar Pradesh,Kannauj,26.993988617886185,79.64437940379408,160,1656616,2488,61491,87.8726570013246,61.4
Uttar Pradesh,Kanpur Dehat,26.43047641196011,79.98710083056478,163,1796184,2682,49753,86.47024931093013,65.15
Uttar Pradesh,Kaushambi,25.53587532051282,81.41811282051287,174,1599596,1503,43753,90.77216646690161,50.85
Uttar Pradesh,Kushinagar,26.892530675909864,83.92261542461007,189,3564544,3486,127331,96.06359543578165,54.84
Uttar Pradesh,Lalitpur,24.58877161016945,78.60082330508473,167,1221592,1079,77082,90.5727046805749,52.49
Uttar Pradesh,Lucknow,26.838233589251463,80.89706026871404,157,4589838,68506,582769,91.68444369457033,68.13
Uttar Pradesh,Mahoba,25.34529670138888,79.67863003472216,169,875958,1316,42936,87.82952152638101,55.72
Uttar Pradesh,Mainpuri,27.17386862302482,79.03501851015807,148,1868529,2642,79022,88.09867754135641,64.43
Uttar Pradesh,Mathura,27.59390432801821,77.62153416856502,145,2547184,8726,281239,86.31683276949803,59.19
Uttar Pradesh,Mau,26.01082203791469,83.50582654028433,192,2205968,2656,149908,97.89631195226737,61.79
Uttar Pradesh,Meerut,29.02957625698323,77.80611005586593,138,3443689,23717,425624,88.61849668874535,62.19
Uttar Pradesh,Mirzapur,25.10207959183675,82.60126628571429,199,2496970,4447,145997,90.27403753099516,57.22
Uttar Pradesh,Moradabad,28.851770406189537,78.73580193423597,135,4772006,11690,281758,90.63729183528511,47.44
Uttar Pradesh,Muzaffarnagar,29.470507977736563,77.64017847866423,133,4143512,10077,368153,88.90525085322831,58.34
Uttar Pradesh,Pilibhit,28.52024175035868,79.90103974175037,151,2031007,2870,83006,89.45925474019639,52.24
Uttar Pradesh,Pratapgarh,25.864842731707316,81.93530048780492,131,867848,716,71612,98.25468767133302,46.27
Uttar Pradesh,Pratapgarh,25.864842731707316,81.93530048780492,173,3209141,5149,140538,99.81140475130519,60.19
Uttar Pradesh,Rae Bareli,26.253902840059787,81.22260463378181,158,3405559,5184,247856,94.32110614182142,57.72
Uttar Pradesh,Rampur,28.83244727272725,79.10977333333337,136,2335819,3847,131112,90.852193295307,44.68
Uttar Pradesh,Saharanpur,30.03381165217392,77.59905147826095,132,3466382,9699,404499,88.99572870924581,59.92
Uttar Pradesh,Sant Kabir Nagar,26.791596516393444,83.0387764344262,186,1715183,2031,79525,97.22545466253322,55.68
Uttar Pradesh,Shahjahanpur,27.991389350649328,79.8302275324675,152,3006538,3889,115163,87.15963553354918,49.59
Uttar Pradesh,Sitapur,27.501995963091108,80.85288881199547,154,4483992,3874,102040,88.77867891737507,50.93
Uttar Pradesh,Sonbhadra,24.46693268858798,83.06816324951639,200,1862559,5149,95582,91.75070829695761,52.92
Uttar Pradesh,Sultanpur,26.2846386419753,82.05710456790123,179,3797117,5956,233701,98.32574770733726,58.99
Uttar Pradesh,Unnao,26.63163990895297,80.636773292868,156,3108367,3476,99466,90.68718418096702,57.06
Uttar Pradesh,Varanasi,25.36057088888889,82.82529666666672,197,3676841,19214,336056,91.31709591296334,65.38
Uttaranchal,Almora,29.683532133676103,79.50165064267351,64,622506,1830,109876,113.86005957104723,70.12
Uttaranchal,Bageshwar,29.98703393393397,79.83954354354357,63,259898,435,47083,109.04557373357142,69.06
Uttaranchal,Chamoli,30.58338611464965,79.56281095541402,57,391605,899,71524,101.86761241500895,71.64
Uttaranchal,Champawat,29.29142393939393,80.07720212121217,65,259648,548,37725,98.01563393708294,68.45
Uttaranchal,Pithoragarh,30.14720631868129,80.34229230769236,62,483439,1344,95421,102.01708273089685,71.48
Uttaranchal,Tehri Garhwal,30.463700918635173,78.48783792650917,59,618931,1366,117239,107.7047243830247,65.92
Uttaranchal,Udham Singh Nagar,29.02779577677222,79.45629004524895,67,1648902,7883,254802,92.00449939041644,62.94
Uttaranchal,Uttarkashi,30.968958552036234,78.56880615384617,56,330086,602,52621,95.78402937181562,65.17
West Bengal,Bankura,23.081280892857155,87.12640053571437,339,3596674,4273,334670,95.67399943963724,62.08
West Bengal,Barddhaman,23.444453888888884,87.8150581111111,335,7717563,32323,1049943,94.54950718308478,67.99
West Bengal,Birbhum,24.06389342723,87.65153089201888,334,3502404,5210,333752,95.5645143278315,61.63
West Bengal,Dakshin Dinajpur,25.342094363021435,88.69821679819614,331,1676276,2518,168069,95.55272462987008,64.65
West Bengal,Darjiling,26.839619571045585,88.33145067024122,327,1846823,10943,297176,97.04510706218879,71.24
West Bengal,Haora,22.401674174428507,87.99421176968654,341,4850029,30751,796953,93.93762603371135,74.33
West Bengal,Hugli,22.87929264705881,88.00010264705891,338,5519145,31725,965258,96.08616053204427,73.9
West Bengal,Jalpaiguri,26.62642031250004,89.04154375000003,328,3872846,9322,382500,95.29606709617036,64.52
West Bengal,Kolkata,22.550581481481483,88.3527648148148,342,4496694,136618,927602,90.79934113102446,79.8
West Bengal,Maldah,25.08026802575105,88.17191684549356,332,3988845,5357,297716,94.43164918468605,52.31
West Bengal,Murshidabad,24.25950655391121,88.16816860465121,333,7103807,7951,541169,95.82857807608633,57.09
West Bengal,Nadia,23.56410971055088,88.58293034547152,336,5167600,12787,623729,94.72689398621131,67.35
West Bengal,Puruliya,23.254192328767108,86.3968532876713,340,2930115,3551,189889,95.73298793049547,55.46
West Bengal,Uttar Dinajpur,26.044619165196977,88.23595232216337,330,3007134,2883,199307,93.87530898104916,49.54
